TOTAL: 3543311
frames, misses, miss rate 
1,3543311,1.000000
2,3065998,0.865292
3,2749502,0.775970
4,2615922,0.738271
5,2479822,0.699860
6,2392756,0.675288
7,2308842,0.651606
8,2204530,0.622167
9,2087408,0.589112
10,2005335,0.565949
11,1943408,0.548472
12,1888530,0.532985
13,1833906,0.517568
14,1778051,0.501805
15,1724703,0.486749
16,1674305,0.472526
17,1626600,0.459062
18,1579865,0.445873
19,1534592,0.433095
20,1490780,0.420731
21,1448453,0.408785
22,1408612,0.397541
23,1370568,0.386804
24,1335448,0.376893
25,1303348,0.367833
26,1273963,0.359540
27,1247759,0.352145
28,1224495,0.345579
29,1204188,0.339848
30,1186048,0.334729
31,1170351,0.330299
32,1156369,0.326353
33,1144176,0.322912
34,1133306,0.319844
35,1123769,0.317152
36,1115121,0.314712
37,1107291,0.312502
38,1100302,0.310529
39,1093885,0.308718
40,1087931,0.307038
41,1082313,0.305452
42,1077102,0.303982
43,1072056,0.302558
44,1067259,0.301204
45,1062695,0.299916
46,1058261,0.298664
47,1054177,0.297512
48,1050122,0.296367
49,1046016,0.295209
50,1042207,0.294134
51,1038491,0.293085
52,1034744,0.292027
53,1031319,0.291061
54,1027931,0.290105
55,1024623,0.289171
56,1021421,0.288267
57,1018187,0.287355
58,1015074,0.286476
59,1012162,0.285654
60,1009256,0.284834
61,1006305,0.284001
62,1003487,0.283206
63,1000695,0.282418
64,998018,0.281663
65,995387,0.280920
66,992822,0.280196
67,990365,0.279503
68,987940,0.278818
69,985622,0.278164
70,983310,0.277512
71,981056,0.276875
72,978830,0.276247
73,976606,0.275620
74,974421,0.275003
75,972236,0.274386
76,970198,0.273811
77,968110,0.273222
78,966055,0.272642
79,964078,0.272084
80,962211,0.271557
81,960279,0.271012
82,958347,0.270467
83,956455,0.269933
84,954621,0.269415
85,952884,0.268925
86,951165,0.268440
87,949410,0.267944
88,947685,0.267457
89,946034,0.266992
90,944437,0.266541
91,942803,0.266080
92,941138,0.265610
93,939518,0.265153
94,937901,0.264696
95,936398,0.264272
96,934849,0.263835
97,933354,0.263413
98,931829,0.262983
99,930389,0.262576
100,928984,0.262180
101,927563,0.261779
102,926101,0.261366
103,924742,0.260982
104,923380,0.260598
105,922091,0.260234
106,920779,0.259864
107,919498,0.259502
108,918228,0.259144
109,917016,0.258802
110,915783,0.258454
111,914584,0.258116
112,913317,0.257758
113,912161,0.257432
114,911001,0.257104
115,909830,0.256774
116,908697,0.256454
117,907529,0.256125
118,906433,0.255815
119,905360,0.255512
120,904363,0.255231
121,903298,0.254930
122,902280,0.254643
123,901258,0.254355
124,900291,0.254082
125,899298,0.253802
126,898269,0.253511
127,897297,0.253237
128,896309,0.252958
129,895304,0.252674
130,894289,0.252388
131,893339,0.252120
132,892414,0.251859
133,891443,0.251585
134,890495,0.251317
135,889580,0.251059
136,888646,0.250795
137,887675,0.250521
138,886771,0.250266
139,885788,0.249989
140,884825,0.249717
141,883851,0.249442
142,882930,0.249182
143,882066,0.248938
144,881146,0.248679
145,880201,0.248412
146,879318,0.248163
147,878446,0.247917
148,877581,0.247673
149,876724,0.247431
150,875876,0.247191
151,874987,0.246941
152,874107,0.246692
153,873264,0.246454
154,872486,0.246235
155,871654,0.246000
156,870815,0.245763
157,870022,0.245539
158,869164,0.245297
159,868347,0.245067
160,867466,0.244818
161,866664,0.244592
162,865884,0.244371
163,865117,0.244155
164,864332,0.243933
165,863531,0.243707
166,862757,0.243489
167,861938,0.243258
168,861155,0.243037
169,860361,0.242813
170,859580,0.242592
171,858815,0.242376
172,858029,0.242155
173,857216,0.241925
174,856430,0.241703
175,855681,0.241492
176,854893,0.241270
177,854064,0.241036
178,853267,0.240811
179,852488,0.240591
180,851728,0.240376
181,850939,0.240154
182,850160,0.239934
183,849352,0.239706
184,848533,0.239475
185,847698,0.239239
186,846864,0.239004
187,845967,0.238750
188,845078,0.238500
189,844231,0.238260
190,843366,0.238016
191,842434,0.237753
192,841506,0.237491
193,840546,0.237220
194,839638,0.236964
