TOTAL: 3543311
frames, misses, miss rate 
1,3543311,1.000000
2,2973290,0.839128
3,2610327,0.736691
4,2446992,0.690595
5,2282058,0.644047
6,2187035,0.617229
7,2094299,0.591057
8,1982211,0.559423
9,1858630,0.524546
10,1769914,0.499509
11,1701187,0.480112
12,1639600,0.462731
13,1578652,0.445530
14,1517587,0.428296
15,1458452,0.411607
16,1402925,0.395936
17,1349723,0.380921
18,1297891,0.366293
19,1247574,0.352093
20,1199407,0.338499
21,1153252,0.325473
22,1109500,0.313125
23,1069226,0.301759
24,1032155,0.291297
25,998985,0.281935
26,969581,0.273637
27,944028,0.266425
28,921965,0.260199
29,902885,0.254814
30,886441,0.250173
31,872092,0.246123
32,859568,0.242589
33,848601,0.239494
34,839025,0.236791
35,830198,0.234300
36,822120,0.232020
37,814860,0.229971
38,808042,0.228047
39,801561,0.226218
40,795505,0.224509
41,789613,0.222846
42,784086,0.221286
43,778586,0.219734
44,773463,0.218288
45,768465,0.216878
46,763499,0.215476
47,758760,0.214139
48,754105,0.212825
49,749526,0.211533
50,745235,0.210322
51,740899,0.209098
52,736717,0.207918
53,732602,0.206756
54,728495,0.205597
55,724518,0.204475
56,720583,0.203364
57,716755,0.202284
58,713007,0.201226
59,709294,0.200178
60,705599,0.199135
61,702085,0.198144
62,698661,0.197177
63,695230,0.196209
64,691887,0.195266
65,688510,0.194313
66,685309,0.193409
67,682098,0.192503
68,678803,0.191573
69,675728,0.190705
70,672564,0.189812
71,669513,0.188951
72,666531,0.188110
73,663606,0.187284
74,660714,0.186468
75,657831,0.185654
76,654943,0.184839
77,652024,0.184015
78,649275,0.183240
79,646549,0.182470
80,643750,0.181680
81,641106,0.180934
82,638480,0.180193
83,635782,0.179432
84,633066,0.178665
85,630606,0.177971
86,628191,0.177289
87,625802,0.176615
88,623385,0.175933
89,621111,0.175291
90,618833,0.174648
91,616508,0.173992
92,614235,0.173351
93,611987,0.172716
94,609823,0.172105
95,607600,0.171478
96,605421,0.170863
97,603257,0.170252
98,601106,0.169645
99,598991,0.169048
100,596936,0.168468
101,594956,0.167910
102,593012,0.167361
103,591091,0.166819
104,589165,0.166275
105,587261,0.165738
106,585387,0.165209
107,583511,0.164680
108,581658,0.164157
109,579874,0.163653
110,578053,0.163139
111,576291,0.162642
112,574449,0.162122
113,572660,0.161617
114,570842,0.161104
115,569078,0.160606
116,567332,0.160114
117,565581,0.159619
118,563907,0.159147
119,562231,0.158674
120,560578,0.158207
121,558944,0.157746
122,557283,0.157277
123,555671,0.156823
124,554120,0.156385
125,552535,0.155937
126,550968,0.155495
127,549396,0.155052
128,547847,0.154614
129,546309,0.154180
130,544775,0.153747
131,543223,0.153309
132,541737,0.152890
133,540304,0.152486
134,538909,0.152092
135,537501,0.151695
136,536092,0.151297
137,534751,0.150918
138,533366,0.150528
139,532009,0.150145
140,530656,0.149763
141,529337,0.149390
142,527984,0.149009
143,526671,0.148638
144,525327,0.148259
145,524009,0.147887
146,522773,0.147538
147,521489,0.147176
148,520259,0.146828
149,519011,0.146476
150,517797,0.146134
151,516568,0.145787
152,515369,0.145448
153,514176,0.145112
154,512955,0.144767
155,511791,0.144439
156,510634,0.144112
157,509511,0.143795
158,508413,0.143485
159,507246,0.143156
160,506049,0.142818
161,504911,0.142497
162,503793,0.142181
163,502658,0.141861
164,501590,0.141560
165,500495,0.141251
166,499441,0.140953
167,498346,0.140644
168,497235,0.140331
169,496112,0.140014
170,495065,0.139718
171,494005,0.139419
172,492957,0.139123
173,491847,0.138810
174,490784,0.138510
175,489748,0.138218
176,488668,0.137913
177,487632,0.137620
178,486602,0.137330
179,485591,0.137044
180,484594,0.136763
181,483622,0.136489
182,482675,0.136221
183,481688,0.135943
184,480719,0.135669
185,479642,0.135365
186,478685,0.135095
187,477723,0.134824
188,476746,0.134548
189,475819,0.134287
190,474914,0.134031
191,473932,0.133754
192,472996,0.133490
193,472105,0.133238
194,471183,0.132978
195,470250,0.132715
196,469354,0.132462
197,468476,0.132214
198,467580,0.131961
199,466685,0.131709
200,465745,0.131443
201,464853,0.131192
202,464020,0.130957
203,463139,0.130708
204,462237,0.130453
205,461373,0.130210
206,460539,0.129974
207,459676,0.129731
208,458758,0.129472
209,457891,0.129227
210,456992,0.128973
211,456130,0.128730
212,455248,0.128481
213,454412,0.128245
214,453635,0.128026
215,452793,0.127788
216,451965,0.127554
217,451159,0.127327
218,450363,0.127102
219,449544,0.126871
220,448679,0.126627
221,447887,0.126404
222,447073,0.126174
223,446290,0.125953
224,445507,0.125732
225,444717,0.125509
226,443938,0.125289
227,443135,0.125062
228,442366,0.124845
229,441586,0.124625
230,440861,0.124421
231,440061,0.124195
232,439300,0.123980
233,438540,0.123766
234,437838,0.123567
235,437113,0.123363
236,436374,0.123154
237,435680,0.122958
238,434944,0.122751
239,434186,0.122537
240,433457,0.122331
241,432750,0.122132
242,432019,0.121925
243,431302,0.121723
244,430550,0.121511
245,429832,0.121308
246,429103,0.121102
247,428370,0.120895
